h;0.001953125;0.00390625;0.0078125;0.015625;0.03125;0.0625;0.125;0.25;0.5;1
0.001953125;0;0.051123875;0.074715315;0.093977502;0.111702555;0.124354542;0.130689988;0.136778823;0.140672113;0.159462882
0.00390625;0.051123875;0;0.040691216;0.058630256;0.072275727;0.082466394;0.087875125;0.093609994;0.097930806;0.116869152
0.0078125;0.074715315;0.040691216;0;0.029195124;0.039661441;0.048707116;0.053643197;0.058499263;0.063490169;0.085568226
0.015625;0.093977502;0.058630256;0.029195124;0;0.01765267;0.02556751;0.030046688;0.034272606;0.04013054;0.065375224
0.03125;0.111702555;0.072275727;0.039661441;0.01765267;0;0.012485139;0.01652228;0.020642595;0.027777686;0.057867623
0.0625;0.124354542;0.082466394;0.048707116;0.02556751;0.012485139;0;0.007955559;0.011299775;0.020171996;0.054436238
0.125;0.130689988;0.087875125;0.053643197;0.030046688;0.01652228;0.007955559;0;0.005286569;0.015679861;0.051851385
0.25;0.136778823;0.093609994;0.058499263;0.034272606;0.020642595;0.011299775;0.005286569;0;0.011419902;0.048238072
0.5;0.140672113;0.097930806;0.063490169;0.04013054;0.027777686;0.020171996;0.015679861;0.011419902;0;0.036539379
1;0.159462882;0.116869152;0.085568226;0.065375224;0.057867623;0.054436238;0.051851385;0.048238072;0.036539379;0
